"","racepctblack","racePctWhite","medIncome","pctWWage","pctWInvInc","pctWPubAsst","medFamInc","perCapInc","PctPopUnderPov","PctLess9thGrade","PctNotHSGrad","PctBSorMore","PctUnemployed","PctEmploy","PctOccupMgmtProf","MalePctDivorce","FemalePctDiv","TotalPctDiv","PctFam2Par","PctKids2Par","PctYoungKids2Par","PctTeen2Par","PctKidsBornNeverMar","PctLargHouseFam","PctPersOwnOccup","PctPersDenseHous","PctHousLess3BR","MedNumBR","PctHousOwnOcc","PctVacantBoarded","PctHousNoPhone","PctWOFullPlumb","MedRentPctHousInc","LemasPctOfficDrugUn","murdPerPop","rapes","rapesPerPop","robbbPerPop","assaultPerPop","burglaries","burglPerPop","larcPerPop","autoTheftPerPop","arsonsPerPop","ViolentCrimesPerPop","nonViolPerPop"
"1",1.37,91.78,75122,89.24,70.2,1.03,79584,29711,1.96,5.81,9.9,48.18,2.7,64.55,50.73,3.67,5.22,4.47,91.43,90.17,95.78,95.81,0.36,4.81,91.46,0.39,11.06,3,91.01,3.12,0,0.28,23.8,0,0,0,0,8.2,32.81,14,114.85,1132.08,131.26,16.41,41.02,1394.59
"2",0.8,95.57,47917,78.99,64.11,2.75,55323,20148,3.98,5.61,13.72,29.89,2.43,61.96,37.64,4.23,6.45,5.42,86.91,85.33,96.82,86.46,0.24,4.25,89.03,1.01,23.6,3,84.88,0,0.31,0.14,27.6,0,0,1,4.25,21.26,102.05,57,242.37,1598.78,110.55,4.25,127.56,1955.95
"3",0.74,94.33,35669,82,55.73,2.94,42112,16946,4.75,2.8,9.09,30.13,4.01,69.8,32.48,10.1,14.76,12.55,78.54,78.85,92.37,75.72,0.88,2.97,64.18,2.03,47.46,3,57.79,0.92,1.55,0.12,24.1,0,8.3,6,16.6,154.95,38.74,274,758.14,4972.19,376.3,60.87,218.59,6167.51
"4",1.7,97.35,20580,68.15,38.95,11.71,26501,10810,17.23,11.05,33.68,10.81,9.86,54.74,22.71,10.98,14.47,12.91,64.02,62.36,65.38,67.43,3.84,3.93,58.18,1.21,45.66,3,54.89,2.54,7,0.87,28.7,0,0,10,57.86,57.86,190.93,225,1301.78,4142.56,271.93,54.1953300418602,306.64,5117.99798648537
"5",0.53,89.16,17390,69.33,42.82,11.21,24018,8483,29.99,12.15,23.06,25.28,9.08,52.44,27.8,7.51,11.64,9.73,58.59,55.2,66.51,79.17,4.7,5.23,58.13,2.94,55.64,2,53.57,3.9,7.45,0.82,32.2,0,0,7.30084301443768,27.3892395990683,32.04,112.14,91,728.93,8490.87,728.93,40.05,282.289927168581,9988.79
"6",2.51,95.65,21577,75.78,41.15,7.12,27705,11878,17.78,8.76,23.03,20.66,5.72,59.02,23.42,11.4,14.46,13.04,71.94,69.79,79.76,75.33,1.58,3.08,57.81,2.11,53.19,2,55.5,2.09,6.13,0.31,26.4,0,4.63,77,50.98,90.05,297.29,2094,1386.46,5091.64,300.6,88.72,442.95,6867.42
"7",1.6,96.57,42805,79.47,47.7,5.41,50394,18193,4.01,4.49,13.89,27.01,4.85,65.42,32.78,5.97,9.06,7.64,79.53,79.76,92.05,77.12,1.18,5.08,64.62,1.47,47.35,3,56.96,1.41,0.69,0.28,24.4,0,0,4,13.53,30.44,182.66,110,372.09,974.19,487.1,57.5,226.63,1890.88
"8",14.2,84.87,23221,71.6,35.74,8.81,28901,12161,17.98,10.09,28.67,12,8.19,56.59,18.02,13.28,16.33,14.94,62.56,58.7,69.89,62.76,4.66,3.85,65.29,1.9,56.3,2,63.82,6.39,8.42,0.49,26.3,0,13.13,34,55.79,160.8,210.02,608,997.6,3691.79,205.1,14.77,439.73,4909.26
"9",0.35,97.11,25326,83.69,47.11,4.21,34269,13554,13.68,5.52,11.27,30.24,4.18,68.51,29.43,7.29,9.94,8.64,79.35,79.7,86.6,80.7,1.64,2.59,57.42,1.67,59.32,2,48.1,0.45,2.66,0.19,25.2,0,0,35,43.87,20.05,51.39,425,532.66,3946.71,258.18,10.03,115.31,4747.58
"10",23.14,67.6,17852,74.2,30.98,9.06,24058,10195,28.68,13.01,31.62,17.02,8.39,51.37,24.3,11.07,14.66,12.97,61.65,54.56,68.85,61.69,4.71,6.7,46.82,6.14,59.96,2,46.51,5.64,11.74,0.33,29.6,6.57,26.88,141,130.69,419.89,966.77,2397,2221.81,5673.63,991.8,16.68,1544.24,8903.93
"11",12.63,83.22,24763,73.92,37.36,7.02,29509,12929,15.61,9.07,24.86,19.23,7.19,57.76,27.28,11.48,15.26,13.53,68.41,64.64,75.18,70.94,2.47,3.66,59.76,3.41,52.11,2,57.83,2.77,7.89,0.3,23.8,0,3.11,29,90.25,220.96,407.69,468,1456.49,5654.8,469.94,18.67,722.02,7599.9
"12",21.34,49.42,25479,73.45,24.98,23.63,28567,10505,19.02,14.03,34.18,11.64,10.16,55.94,14.03,13.91,18.96,16.57,58.06,56.36,61.46,57.16,7.44,12.43,48.07,18.18,72.06,2,47.14,3.78,6.25,0.64,33,0,44.42,21,77.73,1143.81,1340,478,1769.39,5404.4,1591.71,74.03,2605.96,8839.53
"13",12.18,86.39,20043,75.23,34.02,9.6,27655,11760,23.91,15.28,28.52,23.41,6.93,58.62,27.47,10.16,13.43,11.95,64.6,60.7,71.28,67.77,3.56,2.99,53.11,2.49,53.27,2,50.59,1.51,10.67,0.23,27.9,0,6.54,36,78.53,126.52,586.8,582,1269.58,3895.99,322.85,19.63,798.39,5508.05
"14",53.52,45.65,19143,69.31,24.41,13.58,24442,9530,27.71,14.49,34.5,16.56,11.05,51.37,22.71,10.92,14.18,12.74,58.65,50.22,63.07,59.7,8.51,7.86,61.62,5.43,46.91,3,61.74,4.06,11.65,0.73,29.1,10.81,27.26,59,100.51,444.61,904.55,1754,2987.92,3424.02,880.7,78.36,1476.93,7371
"15",0.06,99.21,25797,73.95,56.06,6.6,32055,11907,6.84,16.28,25.41,15.31,3.67,65.62,21.74,6.08,8.37,7.32,79.99,81.44,87.19,85.51,0.87,3.61,80.28,0.94,38.26,3,74.48,0,1.5,0.65,24.9,0,0,7.27955664940392,42.8346747574922,0,65.82,67,489.98,2069.62,153.58,7.31,173.569539333936,2720.49
