"","MSZoning","LotShape","LandContour","LotConfig","Neighborhood","Condition2","BldgType","HouseStyle","RoofStyle","Exterior1st","Exterior2nd","MasVnrType","ExterQual","ExterCond","Foundation","BsmtQual","BsmtCond","BsmtExposure","BsmtFinType1","BsmtFinType2","HeatingQC","Electrical","KitchenQual","Functional","GarageType","GarageFinish","PavedDrive","SaleType","SaleCondition","MasVnrType.1","BsmtFinType2.1","BsmtFinSF2","MSZoning.1","Foundation.1","BsmtExposure.1","BsmtFinType1.1","Condition1.1","Utilities.1","BsmtQual.1","LandContour.1","LandSlope.1","LotConfig.1","BsmtCond.1","Exterior1st.1","ExterQual.1"
"1","RL","Reg","Lvl","Inside","CollgCr","Norm","1Fam","2Story","Gable","VinylSd","VinylSd","BrkFace","Gd","TA","PConc","Gd","TA","No","GLQ","Unf","Ex","SBrkr","Gd","Typ","Attchd","RFn","Y","WD","Normal","BrkFace","Unf",0,"RL","PConc","No","GLQ","Norm","AllPub","Gd","Lvl","Gtl","Inside","TA","VinylSd","Gd"
"2","RL","Reg","Lvl","FR2","Veenker","Norm","1Fam","1Story","Gable","MetalSd","MetalSd","None","TA","TA","CBlock","Gd","TA","Gd","ALQ","Unf","Ex","SBrkr","TA","Typ","Attchd","RFn","Y","WD","Normal","None","Unf",0,"RL","CBlock","Gd","ALQ","Feedr","AllPub","Gd","Lvl","Gtl","FR2","TA","MetalSd","TA"
"3","RL","IR1","Lvl","Inside","CollgCr","Norm","1Fam","2Story","Gable","VinylSd","VinylSd","BrkFace","Gd","TA","PConc","Gd","TA","Mn","GLQ","Unf","Ex","SBrkr","Gd","Typ","Attchd","RFn","Y","WD","Normal","BrkFace","Unf",0,"RL","PConc","Mn","GLQ","Norm","AllPub","Gd","Lvl","Gtl","Inside","TA","VinylSd","Gd"
"4","RL","IR1","Lvl","Corner","Crawfor","Norm","1Fam","2Story","Gable","Wd Sdng","Wd Shng","None","TA","TA","BrkTil","TA","Gd","No","ALQ","Unf","Gd","SBrkr","Gd","Typ","Detchd","Unf","Y","WD","Abnorml","None","Unf",0,"RL","BrkTil","No","ALQ","Norm","AllPub","TA","Lvl","Gtl","Corner","Gd","Wd Sdng","TA"
"5","RL","IR1","Lvl","FR2","NoRidge","Norm","1Fam","2Story","Gable","VinylSd","VinylSd","BrkFace","Gd","TA","PConc","Gd","TA","Av","GLQ","Unf","Ex","SBrkr","Gd","Typ","Attchd","RFn","Y","WD","Normal","BrkFace","Unf",0,"RL","PConc","Av","GLQ","Norm","AllPub","Gd","Lvl","Gtl","FR2","TA","VinylSd","Gd"
"6","RL","IR1","Lvl","Inside","Mitchel","Norm","1Fam","1.5Fin","Gable","VinylSd","VinylSd","None","TA","TA","Wood","Gd","TA","No","GLQ","Unf","Ex","SBrkr","TA","Typ","Attchd","Unf","Y","WD","Normal","None","Unf",0,"RL","Wood","No","GLQ","Norm","AllPub","Gd","Lvl","Gtl","Inside","TA","VinylSd","TA"
"7","RL","Reg","Lvl","Inside","Somerst","Norm","1Fam","1Story","Gable","VinylSd","VinylSd","Stone","Gd","TA","PConc","Ex","TA","Av","GLQ","Unf","Ex","SBrkr","Gd","Typ","Attchd","RFn","Y","WD","Normal","Stone","Unf",0,"RL","PConc","Av","GLQ","Norm","AllPub","Ex","Lvl","Gtl","Inside","TA","VinylSd","Gd"
"8","RL","IR1","Lvl","Corner","NWAmes","Norm","1Fam","2Story","Gable","HdBoard","HdBoard","Stone","TA","TA","CBlock","Gd","TA","Mn","ALQ","BLQ","Ex","SBrkr","TA","Typ","Attchd","RFn","Y","WD","Normal","Stone","BLQ",32,"RL","CBlock","Mn","ALQ","PosN","AllPub","Gd","Lvl","Gtl","Corner","TA","HdBoard","TA"
"9","RM","Reg","Lvl","Inside","OldTown","Norm","1Fam","1.5Fin","Gable","BrkFace","Wd Shng","None","TA","TA","BrkTil","TA","TA","No","Unf","Unf","Gd","FuseF","TA","Min1","Detchd","Unf","Y","WD","Abnorml","None","Unf",0,"RM","BrkTil","No","Unf","Artery","AllPub","TA","Lvl","Gtl","Inside","TA","BrkFace","TA"
"10","RL","Reg","Lvl","Corner","BrkSide","Artery","2fmCon","1.5Unf","Gable","MetalSd","MetalSd","None","TA","TA","BrkTil","TA","TA","No","GLQ","Unf","Ex","SBrkr","TA","Typ","Attchd","RFn","Y","WD","Normal","None","Unf",0,"RL","BrkTil","No","GLQ","Artery","AllPub","TA","Lvl","Gtl","Corner","TA","MetalSd","TA"
