"","price","bedrooms","bathrooms","sqft_living","sqft_lot","floors","waterfront","view","condition","grade","sqft_above","sqft_basement","yr_built","yr_renovated","lat","long","sqft_living15","sqft_lot15"
"1",221900,"4",1,1180,5650,"1","0","0","3","7",1180,0,60,2015,47.5112,-122.257,1340,5650
"2",538000,"4",2.25,2570,7242,"2","0","0","3","7",2170,400,64,1991,47.721,-122.319,1690,7639
"3",180000,"3",1,770,10000,"1","0","0","3","6",770,0,82,2015,47.7379,-122.233,2720,8062
"4",604000,"5",3,1960,5000,"1","0","0","5","7",1050,910,50,2015,47.5208,-122.393,1360,5000
"5",510000,"4",2,1680,8080,"1","0","0","3","8",1680,0,28,2015,47.6168,-122.045,1800,7503
"7",257500,"4",2.25,1715,6819,"2","0","0","3","7",1715,0,20,2015,47.3097,-122.327,2238,6819
"8",291850,"4",1.5,1060,9711,"1","0","0","3","7",1060,0,52,2015,47.4095,-122.315,1650,9711
"9",229500,"4",1,1780,7470,"1","0","0","3","7",1050,730,55,2015,47.5123,-122.337,1780,8113
"10",323000,"4",2.5,1890,6560,"2","0","0","3","7",1890,0,12,2015,47.3684,-122.031,2390,7570
"11",662500,"4",2.5,3560,9796,"1","0","0","3","8",1860,1700,50,2015,47.6007,-122.145,2210,8925
"12",468000,"3",1,1160,6000,"1","0","0","4","7",860,300,73,2015,47.69,-122.292,1330,6000
"13",310000,"4",1,1430,19901,"1.5","0","0","4","7",1430,0,88,2015,47.7558,-122.229,1780,12697
"14",4e+05,"4",1.75,1370,9680,"1","0","0","4","7",1370,0,38,2015,47.6127,-122.045,1370,10208
"15",530000,"6",2,1810,4850,"1.5","0","0","3","7",1810,0,115,2015,47.67,-122.394,1360,4850
"16",650000,"5",3,2950,5000,"2","0","3","3","9",1980,970,36,2015,47.5714,-122.375,2140,4000
"17",395000,"4",2,1890,14040,"2","0","0","3","7",1890,0,21,2015,47.7277,-121.962,1890,14018
"18",485000,"5",1,1600,4300,"1.5","0","0","4","7",1600,0,99,2015,47.6648,-122.343,1610,4300
"19",189000,"3",1,1200,9850,"1","0","0","4","7",1200,0,94,2015,47.3089,-122.21,1060,5095
"20",230000,"4",1,1250,9774,"1","0","0","4","7",1250,0,46,2015,47.3343,-122.306,1280,8850
"21",385000,"5",1.75,1620,4980,"1","0","0","4","7",860,760,68,2015,47.7025,-122.341,1400,4980
"23",285000,"6",2.5,2270,6300,"2","0","0","3","8",2270,0,20,2015,47.3266,-122.169,2240,7005
"24",252700,"3",1.5,1070,9643,"1","0","0","3","7",1070,0,30,2015,47.3533,-122.166,1220,8386
"25",329000,"4",2.25,2450,6500,"2","0","0","4","8",2450,0,30,2015,47.3739,-122.172,2200,6865
"26",233000,"4",2,1710,4697,"1.5","0","0","5","6",1710,0,74,2015,47.3048,-122.218,1030,4705
"27",937000,"4",1.75,2450,2691,"2","0","0","3","8",1750,700,100,2015,47.6386,-122.36,1760,3573
"28",667000,"4",1,1400,1581,"1.5","0","0","5","8",1400,0,106,2015,47.6221,-122.314,1860,3861
"29",438000,"4",1.75,1520,6380,"1","0","0","3","7",790,730,67,2015,47.695,-122.304,1520,6235
"30",719000,"5",2.5,2570,7173,"2","0","0","3","8",2570,0,10,2015,47.7073,-122.11,2630,6026
"31",580500,"4",2.5,2320,3980,"2","0","0","3","8",2320,0,12,2015,47.5391,-122.07,2580,3980
"32",280000,"3",1.5,1190,1265,"3","0","0","3","7",1190,0,10,2015,47.7274,-122.357,1390,1756
"33",687500,"5",1.75,2330,5000,"1.5","0","0","4","7",1510,820,86,2015,47.6823,-122.368,1460,5000
"34",535000,"4",1,1090,3000,"1.5","0","0","4","8",1090,0,86,2015,47.6889,-122.375,1570,5080
"35",322500,"5",2.75,2060,6659,"1","0","0","3","7",1280,780,34,2015,47.4276,-122.157,2020,8720
"36",696000,"4",2.5,2300,3060,"1.5","0","0","3","8",1510,790,85,2002,47.6827,-122.31,1590,3264
"37",550000,"5",1,1660,34848,"1","0","0","1","5",930,730,82,2015,47.6621,-122.132,2160,11467
"38",640000,"5",2,2360,6000,"2","0","0","4","8",2360,0,111,2015,47.6702,-122.362,1730,4700
"39",240000,"5",1,1220,8075,"1","0","0","2","7",890,330,46,2015,47.3341,-122.282,1290,7800
"40",605000,"5",2.5,2620,7553,"2","0","0","3","8",2620,0,19,2015,47.5301,-122.18,2620,11884
"41",625000,"5",2.5,2570,5520,"2","0","0","3","9",2570,0,15,2015,47.6145,-122.027,2470,5669
"42",775000,"5",2.25,4220,24186,"1","0","0","3","8",2600,1620,31,2015,47.445,-122.347,2410,30617
"43",861990,"6",2.75,3595,5639,"2","0","0","3","9",3595,0,1,2015,47.6848,-122.016,3625,5639
"44",685000,"4",1,1570,2280,"2","0","0","3","7",1570,0,93,2015,47.6413,-122.364,1580,2640
"45",309000,"4",1,1280,9656,"1","0","0","4","6",920,360,56,2015,47.4485,-122.175,1340,8808
"46",488000,"4",2.5,3160,13603,"2","0","0","3","8",3160,0,12,2015,47.7443,-121.977,3050,9232
"47",210490,"4",1,990,8528,"1","0","0","3","6",990,0,49,2015,47.3066,-122.371,1228,8840
"48",785000,"5",2.5,2290,13416,"2","0","0","4","9",2290,0,34,2015,47.6194,-122.151,2680,13685
"49",450000,"4",1.75,1250,5963,"1","0","0","4","7",1250,0,62,2015,47.6796,-122.301,970,5100
"51",228000,"4",1,1190,9199,"1","0","0","3","7",1190,0,60,2015,47.4258,-122.322,1190,9364
"52",345000,"6",2.5,3150,9134,"1","0","0","4","8",1640,1510,49,2015,47.4934,-122.189,1990,9133
"53",6e+05,"4",1.75,1410,4080,"1","0","0","4","7",1000,410,65,2015,47.6808,-122.384,1410,4080
"54",585000,"3",1.75,1980,8550,"1","0","0","3","7",990,990,34,2015,47.6989,-122.369,1480,6738
"55",920000,"6",2.25,2730,6000,"1.5","0","0","3","8",2130,600,88,2015,47.6571,-122.281,2730,6000
"56",885000,"5",2.5,2830,5000,"2","0","0","3","9",2830,0,20,2015,47.6597,-122.29,1950,5000
"57",292500,"5",2.5,2250,4495,"2","0","0","3","7",2250,0,7,2015,47.3663,-122.114,2250,4500
"58",301000,"4",2.5,2420,4750,"2","0","0","3","8",2420,0,12,2015,47.3663,-122.122,2690,4750
"59",951000,"6",3.25,3250,14342,"2","0","4","4","8",3250,0,47,2015,47.588,-122.116,2960,11044
"60",430000,"5",3,1850,9976,"2","0","0","3","8",1850,0,24,2015,47.5059,-122.149,2270,8542
"61",650000,"4",2.25,2150,21235,"1","0","3","4","8",1590,560,56,2015,47.4336,-122.339,2570,18900
"62",289000,"4",1.75,1260,8400,"1","0","0","3","7",1260,0,61,2015,47.4366,-122.335,1290,8750
"63",505000,"4",1.75,2519,8690,"2","0","0","5","8",2519,0,42,2015,47.4428,-122.344,2500,9500
"64",549000,"4",1.75,1540,1044,"3","0","0","3","8",1540,0,1,2015,47.6765,-122.32,1580,3090
"65",425000,"4",2.25,1660,6000,"1","0","0","3","7",1110,550,36,2015,47.6113,-122.297,1440,4080
"66",317625,"4",2.75,2770,3809,"1.5","0","0","5","7",1770,1000,90,2015,47.5747,-122.304,1440,4000
"67",975000,"5",2.5,2720,11049,"2","0","0","3","10",2720,0,26,2015,47.5815,-122.192,2750,11049
"68",287000,"5",2.5,2240,4648,"2","0","0","3","7",2240,0,10,2015,47.3378,-122.257,2221,4557
"69",204000,"4",1,1000,12070,"1","0","0","4","7",1000,0,47,2015,47.3621,-122.11,1010,12635
"71",1040000,"6",3.25,4770,50094,"1","0","0","4","11",3070,1700,42,2015,47.6525,-122.16,3530,38917
